"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSDARG00000000001",14.9977081712182,0.125327823174558,0.829836870929287,0.151027060335618,0.879954369668411,0.946789410851438,"SLC35A5","solute carrier family 35 member A5 [Source:ZFIN;Acc:ZDB-GENE-030616-55]"
"ENSDARG00000000002",186.891212279981,1.980066061459,0.433151951753499,4.57129663953547,4.84715543857689e-06,0.000141459770162647,"ccdc80","coiled-coil domain containing 80 [Source:ZFIN;Acc:ZDB-GENE-030616-56]"
"ENSDARG00000000018",107.342064376715,0.493126467555233,0.459726236861536,1.07265243533133,0.283427088886062,0.528831502865387,"NRF1","nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]"
"ENSDARG00000000019",105.690124882261,1.30600805019999,0.504438898064171,2.58903120915518,0.00962463711069335,0.0565901650096831,"UBE2H","ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-030616-67]"
"ENSDARG00000000068",39.9766046475874,-0.363378632822763,0.574923492159116,-0.632046938033617,0.527356206452904,0.741187965909928,"NHERF1","NHERF family PDZ scaffold protein 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]"
"ENSDARG00000000069",140.97853854226,0.384020927676107,0.454213359628661,0.845463744153321,0.39785196718271,0.638524077776597,"DAP","death-associated protein [Source:ZFIN;Acc:ZDB-GENE-000511-3]"
"ENSDARG00000000086",197.841369599497,0.46908033080057,0.561778117286858,0.834992172827989,0.403722115410935,0.643675780541086,"ITSN1","intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]"
"ENSDARG00000000103",227.40382774314,-0.151668056111908,0.424602513390219,-0.357200090270124,0.720942018322256,0.864953479576975,"MYH10","myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]"
"ENSDARG00000000142",36.5796725236353,0.0100183937158289,0.622030861493073,0.0161059431870978,0.98714987215312,0.995807592441995,"TMEM267","transmembrane protein 267 [Source:ZFIN;Acc:ZDB-GENE-030616-546]"
"ENSDARG00000000151",74.5761929364651,-0.411649799168786,0.53417156712562,-0.770632179814204,0.440924981532802,0.675077057999517,"THRA","thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]"
"ENSDARG00000000161",6.25006300590876,-1.17797198365009,1.19202904299742,-0.988207452301677,0.323051059162843,0.571177858632999,"ITSN2","intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]"
"ENSDARG00000000183",128.711664802958,-0.801430072289155,0.483767096760614,-1.65664444245106,0.0975913815339903,0.274128193493242,"PTPN4","protein tyrosine phosphatase non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]"
"ENSDARG00000000189",334.159482190441,-0.68201180514222,0.419020448669101,-1.62763370453265,0.103602577988459,0.28469677817628,"SEMA6C","semaphorin 6Cb [Source:ZFIN;Acc:ZDB-GENE-040724-119]"
"ENSDARG00000000212",18691.1193403813,0.495976392898941,0.413165912017894,1.20042912174579,0.229972724433498,0.467273987366436,"krt97","keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]"
