"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030261","GO:0030261","chromosome condensation","20/2046","28/17744",0.714285714285714,6.19466554950426,9.93111360326135,1.96634679043157e-13,5.51167005357969e-10,4.82686391082781e-10,"nusap1/ncapd2/top2a/si:dkey-261m9.12/histh1l1/h1-0/smc4/si:ch211-113a14.24/si:ch211-113a14.18/h1-10/zgc:110425/ncapg2/h1l1/si:dkey-108k21.10/zgc:153405/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12",20
"GO:0006334","GO:0006334","nucleosome assembly","22/2046","41/17744",0.536585365853659,4.65355363231052,8.45528321648259,5.66217242055646e-11,7.93553464740988e-08,6.94957162354614e-08,"si:dkey-261m9.12/spty2d1/histh1l1/h1-0/si:ch211-113a14.24/si:ch211-113a14.18/h1-10/chaf1b/zgc:110425/chaf1a/h1l1/si:dkey-108k21.10/zgc:163061/zgc:110216/zgc:153405/nap1l1/h1m/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12",22
"GO:0034728","GO:0034728","nucleosome organization","22/2046","45/17744",0.488888888888889,4.23990442054958,7.85612290690733,6.01016837031839e-10,5.61550064733415e-07,4.91779390862543e-07,"si:dkey-261m9.12/spty2d1/histh1l1/h1-0/si:ch211-113a14.24/si:ch211-113a14.18/h1-10/chaf1b/zgc:110425/chaf1a/h1l1/si:dkey-108k21.10/zgc:163061/zgc:110216/zgc:153405/nap1l1/h1m/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12",22
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","19/2046","35/17744",0.542857142857143,4.70794581762324,7.9271040949945,8.99655492756423e-10,6.30433586549064e-07,5.52104370817889e-07,"parpbp/si:dkey-261m9.12/histh1l1/h1-0/si:ch211-113a14.24/si:ch211-113a14.18/igfbp2a/h1-10/zgc:110425/h1l1/si:dkey-108k21.10/zgc:153405/ten1/si:ch211-127m7.2/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12",19
"GO:0045910","GO:0045910","negative regulation of DNA recombination","16/2046","26/17744",0.615384615384615,5.33694262726521,7.98927151474439,1.57746004490002e-09,8.48358208070652e-07,7.42952603872077e-07,"parpbp/si:dkey-261m9.12/histh1l1/h1-0/si:ch211-113a14.24/si:ch211-113a14.18/h1-10/zgc:110425/h1l1/si:dkey-108k21.10/zgc:153405/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12",16
"GO:0006119","GO:0006119","oxidative phosphorylation","29/2046","76/17744",0.381578947368421,3.30925554355096,7.28331803367631,1.81596476932712e-09,8.48358208070652e-07,7.42952603872077e-07,"atp5po/ndufb8/uqcrb/uqcc2/sdha/cox4i2/uqcrq/cox4i1/ndufb6/cyc1/sdhc/ndufb9/atp5if1b/ndufs8a/cox7a2a/cox7a2l/ndufs6/mt-co1/mt-co2/mt-co3/mt-nd3/cox7a1/coa6/uqcc3/atp5f1e/ndufc2/cox7c/cox7a2b/cox7b",29
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","27/2046","68/17744",0.397058823529412,3.44350526134207,7.28819387652745,2.34135160606681e-09,9.37544078829325e-07,8.21057435390648e-07,"ndufb8/uqcc2/tmem126a/higd1a/sdhaf4/ndufa12/ndufa11/uqcc6/ndufs8a/higd2a/cox7a2a/cox7a2l/chchd7/cox7a1/cox17/ndufs7/coa4/lyrm7/si:dkey-88p24.11/stmp1/uqcc3/coa5/ndufaf8/coa3b/pet100/coa3a/smim20",27
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","25/2046","61/17744",0.409836065573771,3.55431629889589,7.21449268188351,4.19658191744209e-09,1.47037738932377e-06,1.28768803045723e-06,"ndufb8/uqcrb/sdha/cox4i2/uqcrq/cox4i1/ndufb6/cyc1/sdhc/ndufb9/ndufs8a/cox7a2a/cox7a2l/ndufs6/mt-co1/mt-co2/mt-co3/mt-nd3/cox7a1/coa6/uqcc3/ndufc2/cox7c/cox7a2b/cox7b",25
"GO:0022904","GO:0022904","respiratory electron transport chain","27/2046","70/17744",0.385714285714286,3.3451193967323,7.097260272131,4.9679927998237e-09,1.54725375754509e-06,1.35501277300455e-06,"ndufb8/uqcrb/sdha/cox4i2/uqcrq/cox4i1/ndufb6/cyc1/sdhc/ndufa5/ndufb9/ndufs8a/cox7a2a/cox7a2l/ndufs6/mt-co1/mt-co2/mt-co3/mt-nd3/cox7a1/gba1/coa6/uqcc3/ndufc2/cox7c/cox7a2b/cox7b",27
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","24/2046","58/17744",0.413793103448276,3.58863383557488,7.12875991271667,6.7996335871249e-09,1.90593729447111e-06,1.66913110791319e-06,"ndufb8/uqcrb/sdha/cox4i2/uqcrq/cox4i1/ndufb6/cyc1/sdhc/ndufb9/ndufs8a/cox7a2a/cox7a2l/ndufs6/mt-co1/mt-co3/mt-nd3/cox7a1/coa6/uqcc3/ndufc2/cox7c/cox7a2b/cox7b",24
