"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dre00190","Metabolism","Energy metabolism","dre00190","Oxidative phosphorylation","90/2190","147/12020",0.612244897959184,3.36035784176684,13.5905098195899,3.18495452413756e-31,5.4781217815166e-29,2.68206696769478e-29,"335191/553660/406359/81541/402961/393829/554154/449787/326977/393720/321951/108179059/406599/325712/550451/415253/393884/406306/335709/554125/335025/335774/393776/393703/436768/445500/550531/192335/326975/393821/415243/445042/393781/393478/402883/393943/494577/445129/541328/573021/445122/556538/393497/562219/415158/436968/393764/336957/436799/406413/393793/573689/554103/447942/335751/436762/447913/393700/573619/553767/566723/100005158/140531/140539/140540/140541/140533/140535/767750/322811/767664/447914/797063/796997/100332034/562149/559659/554101/100537318/557348/798291/393675/406726/450017/541390/100000992/100333064/336118/100535363/563476",90
"dre03082","Genetic Information Processing","Chromosome","dre03082","ATP-dependent chromatin remodeling","67/2190","134/12020",0.5,2.74429223744292,9.58370088074592,4.62705451806795e-17,3.97926688553844e-15,1.94823348129177e-15,"317679/563456/562045/405852/794477/566352/394050/393774/326078/436695/322129/559084/403020/323115/562140/324822/568230/402932/393709/394048/57935/81595/436877/503606/437025/606720/407699/100003254/791987/561095/566102/768122/558344/100001285/252913/449794/100125271/192313/445141/353295/324479/567476/100001004/569589/100006331/100003969/100000574/557263/562355/445300/566686/100141358/568161/450079/554094/406357/110440037/570115/101882533/103909881/406444/100004768/100332885/563177/561187/100333615/100148591",67
"dre04520","Cellular Processes","Cellular community - eukaryotes","dre04520","Adherens junction","63/2190","149/12020",0.422818791946309,2.3206766571665,7.65641472087296,6.2651184431131e-12,3.59200124071818e-10,1.75862973841771e-10,"30510/799867/560400/30556/321107/326283/403050/30705/567905/565199/405869/794669/436586/30265/571256/567490/560578/378998/791177/553788/324004/574422/337084/386966/245701/360144/563460/558359/30701/559679/58092/57935/415151/563633/450006/30523/497649/793158/792928/792194/560446/102216267/100001221/565612/550569/563632/560933/100151181/399480/100150664/245700/102725533/559111/560512/558077/406714/100006041/100334859/326719/322221/559273/30741/793240",63
"dre04217","Cellular Processes","Cell growth and death","dre04217","Necroptosis","74/2190","189/12020",0.391534391534392,2.14896958275954,7.51463987277898,8.77015936133392e-12,3.77116852537359e-10,1.84634933922819e-10,"405840/406529/30768/567460/406766/550542/447823/57933/317737/336612/405785/65236/58108/373108/406286/58081/30767/30554/565155/360134/394048/767670/795095/436651/58130/415155/57923/100148581/606720/553353/798901/563053/373114/568830/252913/449794/559425/100125271/791855/571368/406452/556700/368481/100149273/567642/100001004/100334178/561021/192321/553552/566185/405770/100006331/321622/336426/767645/100000775/336473/100003969/100000574/373092/554094/562317/393351/335519/570115/101882533/103909881/100004768/100332885/563177/561187/100333615/100148591",74
"dre05132","Human Diseases","Infectious disease: bacterial","dre05132","Salmonella infection","109/2190","330/12020",0.33030303030303,1.81289608412896,7.06747387729178,4.34004805015806e-11,1.49297652925437e-09,7.30955461079251e-10,"65237/325557/436770/559866/30510/572690/406463/567460/30707/393141/393945/30556/323099/57933/394243/405785/393928/65236/403145/406681/321383/30265/399477/541530/406486/399482/407638/553788/58081/394163/327373/324004/565155/406276/337084/386807/335474/360144/554561/393653/336637/394198/30701/556104/58130/795591/57935/386701/450006/30523/497649/57923/793158/403133/431767/406811/415187/30681/335916/445473/436734/336613/415158/373080/402901/100003206/114456/100005846/566639/415204/445305/406297/557109/559010/550569/563632/403052/559334/554861/399480/563459/556951/327068/100149273/100329883/767729/567938/799355/406250/561021/566185/792024/100006041/100006250/415099/405770/406364/65239/767645/326719/450032/100003911/336550/562317/373874/100002946/565756/795051/100332402",109
"dre04510","Cellular Processes","Cellular community - eukaryotes","dre04510","Focal adhesion","94/2190","278/12020",0.338129496402878,1.8558523044578,6.81443181588674,2.36226893018136e-10,6.77183759985322e-09,3.31546516516682e-09,"100499533/100151255/386787/560400/567175/321107/65236/445393/561901/571317/337158/100331874/563556/30265/394101/373108/550487/554230/403065/556842/100005469/336471/566796/30037/324004/321212/574422/337084/386966/245701/360144/394012/100000252/325675/286832/57935/415151/450006/286831/793158/335916/558635/449831/445506/100001836/415240/323561/58100/563053/568309/393543/321243/557109/564565/100535241/561670/565130/100004299/550569/541320/386856/399480/100150664/556734/566325/323818/564246/570643/100149273/252849/567895/100149028/100141346/100334116/564005/406714/558958/100006041/100334859/572187/571753/555805/326719/322221/556286/494453/559529/286830/30222/569971/100331333/553355/570216/796537",94
"dre04512","Environmental Information Processing","Signaling molecules and interaction","dre04512","ECM-receptor interaction","47/2190","105/12020",0.447619047619048,2.45679495542509,7.07661422680547,2.948385451275e-10,7.24460425170427e-09,3.54692986619548e-09,"100499533/100151255/386787/567175/561901/571317/337158/100331874/563556/286829/563273/100005469/336471/566796/30037/321212/394012/325675/286832/286831/100001836/323561/563428/321243/568593/100535241/557221/100216326/541320/556734/566325/565429/555681/570643/252849/100149028/100141346/565373/564005/558958/101884488/286830/569971/566673/100331333/553355/570216",47
"dre03050","Genetic Information Processing","Folding, sorting and degradation","dre03050","Proteasome","31/2190","57/12020",0.543859649122807,2.9850196266923,7.09025161928781,8.4667176547117e-10,1.82034429576302e-08,8.91233437338074e-09,"30665/30666/64280/30648/30388/403011/436709/445413/30649/573095/436862/393922/171585/415221/550287/322269/436882/64279/445030/30647/403015/321585/554153/436816/83917/326687/321898/550499/503934/393261/564370",31
"dre03018","Genetic Information Processing","Folding, sorting and degradation","dre03018","RNA degradation","40/2190","85/12020",0.470588235294118,2.58286328229922,6.91227681823964,9.97527884879825e-10,1.906386624437e-08,9.33359424448959e-09,"373085/448949/450057/492503/406795/327627/30079/474329/393856/406245/334116/393669/114432/560944/550234/100126012/386629/326786/415167/378963/100538016/751632/445157/504054/553665/573047/449918/321035/557829/323016/492479/57924/563948/100535720/394008/566017/445224/565000/550247/560386",40
"dre03060","Genetic Information Processing","Folding, sorting and degradation","dre03060","Protein export","20/2190","30/12020",0.666666666666667,3.65905631659056,6.88268727706725,6.89407744054183e-09,1.18578131977319e-07,5.80553889729838e-08,"445299/393270/436794/327335/436772/336867/192298/796309/436845/406652/541342/394071/795154/606666/569063/404632/335756/405884/378848/619260",20
