"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","GO:0006412","translation","240/4298","452/17744",0.530973451327434,2.19208769668543,14.514597200928,8.13828376254174e-41,2.41788410585115e-37,2.09625056494102e-37,"mrpl41/eif4a1b/igf2bp2a/rpl3/hars/cnot1/ybx1/rpl28/eif2s1a/eif4g1a/ell2/rpl23a/rpl38/supt6h/drg2/rpl12/mrps18b/paip2b/rpl15/rps15a/eif4bb/rpl22l1/igf2bp3/qars1/rpl21/rplp2l/uqcc2/rps9/mrpl19/eif4e1c/eif3ja/eif1/eif2d/mrpl11/tars1/eif4eb/rpl19/eif3m/pdf/rps4x/rpl8/ncbp2/rpl27/eif4e2rs1/rpl5b/rwdd1/eif4enif1/eif1ad/eif4a2/rbm8a/eif3g/rpl35/rps6/rpl5a/eif6/eif4g2a/eif3d/rps23/rplp1/rps27.1/mrps18a/rpl18a/rpl10/rps21/mcts1/rnf25/rpp30/eif1axa/chchd1/ssb/eif1b/rpl34/rpl18/eef1db/rps26l/rps19/eif4ebp2/qrsl1/rps27a/mrpl27/mrps23/mrrf/rpl37/rps3a/rps28/rida/yars1/rps13/rpl39/rps14/hbs1l/rps12/rps26/denr/rpl9/mrps35/eif4e2/magoh/mrpl12/rps24/mrps6/mtif3/rpl4/rps29/mrpl51/uba52/eif4ebp3l/rack1/rps7/srp9/rpl10a/impact/zgc:171480/rps5/rpl11/eif4ebp1/faub/rpl13a/cyfip1/eef1b2/mrpl10/elocb/ngdn/rps16/cnbpa/mrps10/cpeb1a/zgc:114188/rplp0/eif2s1b/rps11/rpl31/eif3jb/rpl23/mrps17/cnot6l/rpl32/eif4ebp3/rps27.2/pelo/rps8a/eef1g/gatc/mrpl13/ftsj1/rpl17/mrps34/eif1axb/rpl36a/rpl6/cnot10/mrpl4/ago3a/cpeb3/mrpl18/mrpl32/eprs1/nars1/ago2/ago3b/mrpl9/eif3k/mrps14/dalrd3/mrpl14/mettl5/mrps18c/mrpl30/dars1/rpl22/mrpl35/mrpl36/rps15/cnbpb/mrps21/serbp1a/mettl18/mrps11/lars2/mrpl17/mrpl47/samd4a/mrpl43/eif4ea/rps2/eif3f/rpl29/larp4aa/mrpl58/hemk1/ascc3/dap1b/serbp1b/rpl35a/mrps12/mrpl20/mrpl52/ctif/eif3ea/malsu1/eif2b1/eif4a1a/ago1/mrpl34/rps11b/mrpl44/qkia/mrps16/faua/rpl24/bzw1b/rpl13/mrps24/eef2b/rps18/rps27l/coa3a/rpl36/ago4/mrpl15/trnau1apa/rplp2/prr16/mrps7/mif4gda/eef1da/rpl26/eif3ha/sars2/rps3/mrps2/mrpl3/rpl14/mettl17/rps17/mrpl33/eif2ak4/mrps15/zgc:171772/wu:fb16f03",240
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","158/4298","313/17744",0.504792332268371,2.0840007314495,10.9393311926424,4.04878133689261e-24,6.01446467595397e-21,5.21440417440853e-21,"puf60b/celf2/dcaf13/ruvbl1/wdr12/mak16/rrs1/pin4/rpf1/tsr2/gnl3/exosc9/rpl38/mrto4/wdr55/rpl7/nsa2/tma16/ltv1/pno1/mdn1/rps15a/eif4bb/krr1/rps9/snrpd1/ybey/airim/eif3ja/nop56/ddx49/eif2d/mtrex/snrpd3/eif3m/ythdf2/rps4x/gemin2/rpl5b/riok1/dkc1/eif3g/rpl35/smn1/gtpbp4/rpl7a/rpl5a/eif6/c1d/eif3d/rps27.1/snu13b/lsm4/znhit3/rps21/mcts1/prpf8/sbds/exosc2/rsrp1/rps19/ddx18/puf60a/rrp36/snrpe/riok2/zgc:86811/rps3a/rps28/exosc6/rps14/rps12/lsm6/pwp2h/denr/ptges3a/polr1d/pih1d1/rcl1/polr1c/c1qbp/utp11/coil/rsl24d1/gemin7/rps7/rpl7l1/nop2/rps5/abt1/rpf2/znf593/nop16/pak1ip1/eri1/ngdn/rps16/rplp0/prmt7/eif3jb/pop5/gemin8/imp4/ebna1bp2/rps27.2/drosha/rps8a/mpv17l2/utp3/emg1/naf1/nip7/ddx10/wdr74/bop1/eif3k/exosc8/mettl5/nhp2/rps15/slx9/rrp8/trmt112/rbfa/tfb2m/snrpd3l/gar1/eif3f/mterf4/dlx2a/rpl35a/rexo4/ptges3b/eif3ea/malsu1/ddx27/mphosph6/mrpl44/prpf31/rbis/exosc3/utp6/snrpg/exosc7/nop53/rps27l/trnau1apa/pop4/mrps7/rpl26/fcf1/eif3ha/rpl14/nop10/utp23/snrpf/sdad1/imp3",158
"GO:0042254","GO:0042254","ribosome biogenesis","121/4298","222/17744",0.545045045045045,2.25018131207056,10.5976074918231,2.08336984678861e-22,2.06323060493632e-19,1.78877404038306e-19,"dcaf13/wdr12/mak16/rrs1/pin4/rpf1/tsr2/gnl3/exosc9/mrto4/wdr55/rpl7/nsa2/tma16/ltv1/pno1/mdn1/rps15a/krr1/rps9/ybey/airim/nop56/ddx49/mtrex/ythdf2/rps4x/rpl5b/riok1/dkc1/rpl35/gtpbp4/rpl7a/rpl5a/eif6/c1d/rps27.1/snu13b/znhit3/rps21/sbds/exosc2/rps19/ddx18/rrp36/riok2/zgc:86811/rps3a/rps28/exosc6/rps14/rps12/lsm6/pwp2h/polr1d/pih1d1/rcl1/polr1c/c1qbp/utp11/rsl24d1/rps7/rpl7l1/nop2/rps5/abt1/rpf2/znf593/nop16/pak1ip1/eri1/ngdn/rps16/rplp0/pop5/imp4/ebna1bp2/rps27.2/drosha/rps8a/mpv17l2/utp3/emg1/naf1/nip7/ddx10/wdr74/bop1/exosc8/mettl5/nhp2/rps15/slx9/rrp8/trmt112/rbfa/tfb2m/gar1/mterf4/dlx2a/rpl35a/rexo4/malsu1/ddx27/mphosph6/mrpl44/rbis/exosc3/utp6/exosc7/nop53/rps27l/pop4/mrps7/rpl26/fcf1/rpl14/nop10/utp23/sdad1/imp3",121
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","50/4298","68/17744",0.735294117647059,3.03561163879233,9.50840263288562,1.33375715984978e-17,9.90648130478422e-15,8.58869413198001e-15,"surf1/ndufs5/ndufb8/uqcc2/bcs1l/tmem126a/higd1a/chchd4a/sdhaf3/cox16/sdhaf4/ndufa12/ndufa11/atpaf1/ndufb2/uqcc6/ndufs8a/higd2a/cox7a2a/nubpl/cox7a2l/atpaf2/ndufaf5/sdhaf2/cox19/mt-nd1/mt-nd5/sco1/chchd7/cox7a1/cox17/ndufs7/rab5if/ndufb3/ndufaf4/tmem70/coa4/lyrm7/si:dkey-88p24.11/stmp1/uqcc3/coa5/ndufaf8/coa3b/pet100/cox20/uqcc4/coa3a/tmem186/smim20",50
"GO:0006119","GO:0006119","oxidative phosphorylation","53/4298","76/17744",0.697368421052632,2.87903798584409,9.28108689782157,6.44050048725783e-17,3.8269453895286e-14,3.31787467206735e-14,"atp5po/uqcrfs1/ndufb8/uqcrb/uqcc2/ndufv2/ndufa10/cox5ba/sdha/smn1/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/atpsckmt/ndufa7/ndufb6/atp5mf/cox6c/sdhc/antkmt/ndufb9/atp5if1b/cycsb/ndufs8a/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/atp5if1a/cox7a1/sdhb/cox5aa/coa6/uqcc3/cox8a/atp5f1e/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",53
"GO:0009060","GO:0009060","aerobic respiration","63/4298","103/17744",0.611650485436893,2.52515733215268,8.77650971088181,1.49232754656771e-15,6.46168225251867e-13,5.60213164871413e-13,"atp5po/sucla2/uqcrfs1/ndufb8/uqcrb/uqcc2/ndufv2/ndufa10/cox5ba/sdha/smn1/cox6a1/cox4i2/idh1/aco1/uqcrq/sdhdb/idh3a/cox4i1/atpsckmt/ndufa7/ndufb6/atp5mf/cox6c/sdhc/antkmt/ndufb9/atp5if1b/cycsb/mtfr1/ndufs8a/suclg1/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/atp5if1a/cox7a1/ndufs7/sdhb/cox5aa/coa6/uqcc3/cox8a/atp5f1e/ndufc2/cs/ogdhb/mdh1ab/uqcr10/cox7c/cox7a2b/cox7b",63
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","43/4298","58/17744",0.741379310344828,3.06073394200992,8.88732964604657,1.52244280604614e-15,6.46168225251867e-13,5.60213164871413e-13,"uqcrfs1/ndufb8/uqcrb/ndufv2/ndufa10/cox5ba/sdha/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/ndufa7/ndufb6/cox6c/sdhc/ndufb9/cycsb/ndufs8a/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co3/mt-nd3/mt-nd5/cox7a1/sdhb/cox5aa/coa6/uqcc3/cox8a/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",43
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","44/4298","61/17744",0.721311475409836,2.97788525353004,8.7485930422184,3.86156022298819e-15,1.43408692781224e-12,1.24332077179633e-12,"uqcrfs1/ndufb8/uqcrb/ndufv2/ndufa10/cox5ba/sdha/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/ndufa7/ndufb6/cox6c/sdhc/ndufb9/cycsb/ndufs8a/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/cox7a1/sdhb/cox5aa/coa6/uqcc3/cox8a/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",44
"GO:0045333","GO:0045333","cellular respiration","69/4298","120/17744",0.575,2.3738483015356,8.53743363020201,5.98041484060721e-15,1.97420138793822e-12,1.71158773274454e-12,"atp5po/sucla2/uqcrfs1/si:ch73-141c7.1/ndufb8/uqcrb/uqcc2/sigmar1/ndufv2/ndufa10/cox5ba/sdha/smn1/cox6a1/cox4i2/idh1/aco1/uqcrq/sdhdb/idh3a/cox4i1/atpsckmt/ndufa7/ndufb6/atp5mf/cox6c/sdhc/ndufa5/antkmt/ndufb9/atp5if1b/cycsb/mtfr1/ndufs8a/suclg1/cox7a2a/cox6a2/cox7a2l/sdhda/coq10b/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/atp5if1a/cox7a1/ndufs7/wfs1b/sdhb/smpd1/cox5aa/coa6/uqcc3/cox8a/atp5f1e/ndufc2/cs/ogdhb/mdh1ab/uqcr10/cox7c/cox7a2b/cox7b",69
"GO:0019646","GO:0019646","aerobic electron transport chain","42/4298","58/17744",0.724137931034483,2.98955408289341,8.58035218562265,1.30545016484292e-14,3.87849243974833e-12,3.36256479302172e-12,"uqcrfs1/ndufb8/uqcrb/ndufv2/ndufa10/cox5ba/sdha/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/ndufa7/ndufb6/cox6c/sdhc/ndufb9/cycsb/ndufs8a/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co3/mt-nd3/mt-nd5/cox7a1/sdhb/cox5aa/uqcc3/cox8a/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",42
