"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dre04512","Environmental Information Processing","Signaling molecules and interaction","dre04512","ECM-receptor interaction","35/447","105/12020",0.333333333333333,8.9634601043997,16.1069899404215,1.98646376730189e-24,2.80091391189567e-22,2.53012753519504e-22,"572348/503730/571317/337158/100005469/336471/252850/566796/567640/30234/394012/325675/286832/286831/554268/323561/563428/321243/568593/567771/557221/567928/100216326/541320/556734/569755/555681/570643/100149028/100141346/565373/564005/558958/286830/569971",35
"dre03050","Genetic Information Processing","Folding, sorting and degradation","dre03050","Proteasome","20/447","57/12020",0.350877192982456,9.435221162526,12.5452350534825,5.70826735687337e-15,4.02432848659572e-13,3.6352650009562e-13,"30388/403011/436709/445413/573095/436862/393922/171585/415221/326884/322269/445030/403015/321585/64278/326687/321898/550499/564370/327330",20
"dre00190","Metabolism","Energy metabolism","dre00190","Oxidative phosphorylation","27/447","147/12020",0.183673469387755,4.93904944528147,9.44353987452288,4.43508613432924e-12,2.08449048313474e-10,1.88296639387312e-10,"553660/554154/326977/393720/321951/406599/393703/436768/445500/415243/445042/393781/402883/494577/562219/415158/393764/336957/573689/554103/335751/573619/566723/557348/393675/326962/100333064",27
"dre04510","Cellular Processes","Cellular community - eukaryotes","dre04510","Focal adhesion","37/447","278/12020",0.133093525179856,3.57893550931067,8.54981651423884,1.24681748630071e-11,4.39503163920999e-10,3.9701293642733e-10,"572348/321070/373872/503730/571317/337158/30265/100005469/336471/252850/566796/567640/30234/394012/325675/286832/286831/554268/323561/557882/568309/321243/567771/567928/541320/556734/569755/323818/570643/100149028/100141346/564005/558958/326719/494453/286830/569971",37
"dre04820","Cellular Processes","Cell motility","dre04820","Cytoskeleton in muscle cells","36/447","331/12020",0.108761329305136,2.92463350838419,6.97811806065317,6.80567491266203e-09,1.91920032537069e-07,1.73365613564654e-07,"572348/555202/571317/64698/337158/561679/561865/553503/431774/100005469/336471/252850/406437/100006366/565402/564821/394012/567097/325675/560091/558217/554268/323561/568593/567771/541320/556734/569755/322921/100141346/565373/564005/571786/494453/100463515/569971",36
"dre04382",NA,NA,"dre04382","Cornified envelope formation","22/447","187/12020",0.117647058823529,3.16357415449401,5.86016856442382,1.69967181004078e-06,3.99422875359584e-05,3.60807524587605e-05,"436656/794486/352912/567640/406276/562460/768289/678611/554268/323561/797838/321243/566557/567928/81587/541320/336965/557286/565459/325758/321502/565984",22
"dre03020","Genetic Information Processing","Transcription","dre03020","RNA polymerase","7/447","35/12020",0.2,5.37807606263982,5.09757070274211,0.000255416648398761,0.00514482106060361,0.00464743074530076,"402856/445170/554099/541428/445412/550263/393538",7
"dre04340","Environmental Information Processing","Signal transduction","dre04340","Hedgehog signaling pathway","8/447","69/12020",0.115942028985507,3.11772525370424,3.46702513618765,0.00393400468632245,0.0693368325964332,0.062633495663818,"30189/548610/619201/403042/557882/30181/280652/352930",8
"dre05132","Human Diseases","Infectious disease: bacterial","dre05132","Salmonella infection","21/447","330/12020",0.0636363636363636,1.71120601993085,2.57460193291871,0.0117329522041442,0.18381625119826,0.166045288503094,"325557/321070/393945/394243/30265/492355/58081/394163/406276/393653/336637/30523/497649/436734/415158/373080/406297/405770/326719/565649/100002946",21
"dre04260","Organismal Systems","Circulatory system","dre04260","Cardiac muscle contraction","11/447","146/12020",0.0753424657534247,2.02598755784377,2.45123501821831,0.0203189950038617,0.282645382697319,0.255319830581378,"554154/406437/436768/557499/494577/554103/335751/566723/557348/326962/100333064",11
